SAMPLE_ID	FISH_ID	Bile_Nap	Bile_PHN	Bile_BaP	Bile_Sum_PAH	Liver_Sum_PAH	Liver_Sum_LMW	Liver_Sum_HMW	Naphthalene	C1_Naphthalene	C2_Naphthalene	C3_Naphthalene	C4_Naphthalene	Acenaphthylene	Acenaphthene	Fluorene	C1_Fluorene	C2_Fluorene	C3_Fluorene	C4_Fluorene	Dibenzothiophene	C1_Dibenzothiophene	C2_Dibenzothiophene	C3_Dibenzothiophene	C4_Dibenzothiophene	Phenanthrene	Anthracene	C1_Phenanthrene/Anthracene	C2_Phenanthrene/Anthracene	C3_Phenanthrene/Anthracene	C4_Phenanthrene/Anthracene	C5_Phenanthrene/Anthracene	Fluoranthene	Pyrene	C1_Fluoranthene/Pyrene	C2_Fluoranthene/pyrene	C3_Fluoranthene/Pyrene	C4_Fluoranthene/Pyrene	C5_Fluoranthene/Pyrene	Benzo[a]anthracene	Chrysene	C1_Benzo[a]anthracene/Chrysene	C2_Benzo[a]anthracene/Chrysene	C3_Benzo[a]anthracene/Chrysene	C4_Benz[a]anthracene/Chrysene	C5_Benz[a]anthracene/Chrysene	Benzo[b]fluoranthene	Benzo[k]fluoranthene	Benzo[e]pyrene	Benzo[a]pyrene	Perylene	Dibenz[a,h]anthracene	Indenopyrene	Benzo[ghi]perylene
MS-25	MS-090617-003	163017.3664	31797.33011	179.9773579	194994.6739	1298.95	1294.62	4.33	6.00	51.15	382.11	83.83	69.16	3.96	0.00	3.26	73.46	11.57	6.55	2.97	0.39	7.53	42.17	0.00	0.00	15.25	5.74	393.06	124.97	11.49	0.00	0.00	1.39	1.19	0.00	0.00	0.00	0.00	0.00	0.42	0.26	0.00	0.00	0.00	0.00	0.00	0.73	0.34	0.00	0.00	0.00	0.00	0.00	0.00
OP040417GN02-3	OP040417GN02-003					225.96	222.78	3.18	0.00	24.96	96.27	39.96	0.00	1.85	0.00	4.21	7.87	1.05	0.00	0.00	0.13	0.00	0.00	0.00	0.00	5.47	1.27	39.74	0.00	0.00	0.00	0.00	0.53	1.34	0.00	0.00	0.00	0.00	0.00	0.81	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OP040417GN02-7	OP040417GN02-007					1002.23	997.77	4.46	0.00	31.92	302.77	48.05	53.88	0.00	0.00	3.80	45.48	6.96	5.22	1.50	0.11	4.91	33.12	0.00	0.00	9.19	3.34	312.50	126.20	8.82	0.00	0.00	1.14	0.74	0.00	0.00	0.00	0.00	0.00	0.61	0.35	0.00	0.00	0.00	0.00	0.00	0.84	0.00	0.54	0.00	0.24	0.00	0.00	0.00
OP040417GN02-17	OP040417GN02-017	50292.03103	31374.21894	86.155	81752.40463	448.94	446.95	1.99	15.65	25.21	101.90	24.44	27.36	0.00	0.00	2.55	15.97	2.32	1.96	1.79	0.24	4.73	22.78	0.00	0.00	8.95	2.28	103.77	85.05	0.00	0.00	0.00	0.82	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB-11	WI-040717BL04-014					380.57	378.26	2.31	16.69	14.93	129.61	32.83	29.43	0.00	0.00	1.88	15.29	2.45	2.00	1.84	0.08	3.19	14.54	0.00	0.00	3.21	1.75	108.54	0.00	0.00	0.00	0.00	0.35	0.83	0.00	0.00	0.00	0.00	0.00	0.63	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB-13	WI-040717BL05-021					1471.33	1465.38	5.95	6.52	55.31	416.34	96.44	49.89	0.00	0.00	4.11	95.12	18.62	11.18	3.66	0.79	10.87	67.82	0.00	0.00	21.96	9.46	483.77	103.21	10.31	0.00	0.00	2.94	1.55	0.00	0.00	0.00	0.00	0.00	0.68	0.28	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB-09	WI-041017BL01-012	47299.06978	16604.06	55.97588826	63959.10567	2022.57	2014.25	8.32	4.63	58.34	512.22	69.86	45.93	0.00	0.00	4.65	89.88	18.52	11.41	2.18	0.61	11.61	90.56	0.00	0.00	24.25	11.76	729.68	315.22	12.94	0.00	0.00	4.03	2.57	0.00	0.00	0.00	0.00	0.00	0.75	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00
MB-08	WI-041017BL01-013	21484.2584	7638.367611	759.2595767	29881.88559	939.25	929.02	10.23	4.27	32.02	262.21	75.20	24.15	4.88	0.00	3.93	40.30	8.92	4.54	2.71	0.77	11.97	34.63	0.00	0.00	17.42	3.61	242.28	155.21	0.00	0.00	0.00	3.82	3.00	0.00	0.00	0.00	0.00	0.00	1.02	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.62	0.84	0.00	0.00	0.00
MB-07	WI-041017BL01-014	43501.2624	6894.900994	177.8593212	50574.02271	1732.58	1725.48	7.10	3.29	61.19	461.11	97.66	39.58	0.00	0.00	4.85	85.45	18.83	10.92	3.27	0.73	12.22	77.84	0.00	0.00	22.96	9.52	568.63	234.31	13.12	0.00	0.00	2.79	1.32	0.00	0.00	0.00	0.00	0.00	0.72	0.29	0.00	0.00	0.00	0.00	0.00	0.83	0.43	0.00	0.00	0.00	0.72	0.00	0.00
MB-06	WI-041017BL01-015	14877.56659	6043.065615	386.3197021	21306.95191	2067.99	2058.50	9.49	7.00	37.47	577.55	80.40	46.97	3.22	0.00	3.39	104.19	24.30	7.16	2.69	0.75	19.81	109.98	0.00	0.00	22.16	9.03	651.72	350.71	0.00	0.00	0.00	4.23	3.21	0.00	0.00	0.00	0.00	0.00	0.92	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.35	0.00	0.00	0.00	0.00	0.00
MB-05	WI-041017BL01-016	161136.4212	26701.82731		187838.2485	815.29	810.46	4.83	6.08	52.43	221.33	82.35	25.97	5.66	0.00	4.26	33.37	6.27	4.43	3.11	0.97	6.74	22.46	0.00	0.00	19.43	3.52	174.58	137.50	0.00	0.00	0.00	1.56	1.42	0.00	0.00	0.00	0.00	0.00	0.60	0.20	0.00	0.00	0.00	0.00	0.00	0.74	0.31	0.00	0.00	0.00	0.00	0.00	0.00
MB-04	WI-041017BL01-017	50620.02405	10608.51529	267.5822734	61496.1216	756.43	744.18	12.25	14.57	25.29	119.62	51.27	39.68	4.76	0.00	3.46	19.29	5.89	1.17	0.00	0.88	23.80	23.99	0.00	0.00	22.00	3.11	171.41	213.99	0.00	0.00	0.00	5.26	3.79	0.00	0.00	0.00	0.00	0.00	1.48	0.93	0.00	0.00	0.00	0.00	0.00	0.47	0.32	0.00	0.00	0.00	0.00	0.00	0.00
MB-03	WI-041017BL01-018	302037.2603	16419.85261	406.1603145	318863.2733	389.44	385.74	3.70	13.48	28.76	73.98	40.32	15.23	1.31	0.00	3.59	10.43	1.98	1.15	0.00	0.63	4.78	10.42	0.00	0.00	20.05	1.99	84.41	73.23	0.00	0.00	0.00	1.87	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.23	0.00	0.00	0.00	0.00	0.00	0.00
MB-10	WI-041017BL02-003					877.36	871.08	6.28	34.06	47.83	221.75	83.66	29.61	0.00	0.00	4.38	42.51	7.57	5.14	3.59	0.92	6.71	37.16	0.00	0.00	24.93	4.57	174.52	135.14	7.03	0.00	0.00	2.09	1.75	0.00	0.00	0.00	0.00	0.00	0.67	0.22	0.00	0.00	0.00	0.00	0.00	1.05	0.50	0.00	0.00	0.00	0.00	0.00	0.00
MB-12	WI-041017BL05-020					682.75	677.20	5.55	5.94	39.11	188.40	79.21	14.90	5.07	0.00	4.87	36.83	6.88	4.51	3.12	0.86	7.53	21.17	0.00	0.00	21.87	3.70	169.58	63.65	0.00	0.00	0.00	2.87	1.79	0.00	0.00	0.00	0.00	0.00	0.65	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
